Ranking (1) Tamaño  2021,Ranking (1) Tamaño 2020,Variación Ranking Tamaño 2020 - 2021,Nombre Grupo Económico,"Reporta sus BENEFICIARIOS EFECTIVOS 
(*)",No. de Integrantes domiciliados en PARAÍSOS FISCALES (**),No. de Integrantes y Empresas Offshore relacionadas con el Grupo Económico publicados en PANAMÁ PAPERS (***),"Personas 
Naturales (a)    ","Personas 
Extranjeras (b)    ","Sociedades 
Nacionales (c)","Sociedades 
Extranjeras (d)","Contribuyentes
 Especiales","Grandes 
Contribuyentes e 
Importancia 
Recaudatoria","Instituciones 
Financieras (2)","Medios de 
Comunicación (3)",Total Integrantes e=a+b+c+d,Ranking Contribución I.R. 2020,Ranking Contribución I.R. 2019,"Variación Ranking Contribución I.R. 
2019-2020",Impuesto a la Renta Causado (4) 2020,Total Ingresos 2020,Contribución   I.R. 2020,Impuesto a la Renta Causado (4) 2019,Total Ingresos 2019,Contribución   I.R. 2019,Variación Ingresos,Variación Impuesto a la Renta Causado,Variación Contribución  I.R. (2020-2019),Impuesto Causado ISD 2020,Impuesto Causado ISD 2019,Impuesto Causado IAE 2020 (5),Impuesto Causado IAE 2019 (5),"Total Activo 
(6) 2020","Total Activo 
(6) 2019",Total Patrimonio (7) 2020,"Total Patrimonio 
(7) 2019","
Total Recaudado (8) 2020","
Total Recaudado (8) 2019"
120,106,-14,"CORPETROLSA (EXPORSWEET, LUDERSON, DLEN, SERVAMAIN, GESURYMACA)",SI,0,0,2,1,17,0,4,1,,,20,249,197,-52,"672,295","182,584,577",0.37%,"3,277,293","274,739,422",1.19%,-33.54%,-79.49%,-0.82%,"615,116","21,932",0,0,"141,853,458","137,376,879","42,222,960","42,998,978","3,408,203","4,620,625"
121,129,8,"BANCO AMAZONAS (LIFPRODEC, ZEUDI ENTERPRISES)",SI,7,0,4,0,67,9,2,1,1,1,71,261,237,-24,"88,067","39,046,541",0.23%,"345,965","43,248,759",0.80%,-9.72%,-74.54%,-0.57%,"49,028",903,"31,119","20,363","339,631,936","316,390,901","95,945,105","96,350,427","2,415,808","3,179,172"
122,110,-12,ARTEFACTOS ECUATORIANOS PARA EL HOGAR ARTEFACTA (CORPORACION GROMERON),PARCIALMENTE,4,0,0,5,1,7,1,1,,,6,273,258,-15,"128,941","129,865,640",0.10%,"1,208,846","190,198,325",0.64%,-31.72%,-89.33%,-0.54%,"1,650,180","110,965",0,0,"182,480,888","215,561,944","89,630,942","88,494,050","6,139,487","14,052,486"
123,138,15,"SIGMAPLAST (TINFLEX, NOVOVASOS, HEYAKA CONSTRUCTORES, ENGOMA ADHESIVOS, FIBRABUILDERS)",SI,0,0,8,0,16,0,3,1,,,24,129,153,24,"1,598,574","118,151,745",1.35%,"1,874,749","111,876,497",1.68%,5.61%,-14.73%,-0.32%,"3,402,669","78,606",0,0,"181,735,598","176,363,333","65,051,092","63,842,795","2,587,785","3,019,504"
124,143,19,"PROVEFRUT (NINTANGA, PROCONGELADOS, PROQUINOA, FLORES PASTAVI)",SI,0,0,3,0,14,6,3,1,,,17,63,100,37,"3,733,572","143,940,766",2.59%,"3,180,235","136,121,230",2.34%,5.74%,17.40%,0.26%,"565,254",0,0,0,"134,240,949","120,621,035","79,772,842","69,151,379","3,682,472","3,571,863"
125,136,11,"UNIVERSIDAD SAN FRANCISCO DE QUITO USFQ (FIDEICOMISO CAMPUS, SAN FRANCISCO FOODSERVICE USFQGROUP)",SI,0,0,0,0,7,0,1,0,,,7,283,298,,"4,843","83,712,286",0.01%,"35,932","93,951,573",0.04%,-10.90%,-86.52%,-0.03%,"236,331","3,115",0,0,"198,327,911","194,712,739","121,215,000","109,482,484","3,162,383","4,053,048"
126,126,0,"MULTICINES (AUTO DELTA, NOVAECUADOR, TE UNO, CONSTRUECUADOR)",SI,0,0,0,1,22,4,5,0,,,23,53,72,19,"2,392,767","85,971,124",2.78%,"4,001,864","129,769,440",3.08%,-33.75%,-40.21%,-0.30%,"435,341","4,443",0,0,"202,482,819","198,428,406","87,038,475","93,893,876","8,631,297","9,570,820"
127,127,0,"CONSORCIO PETROSUD PETRORIVA (PETROLEOS SUD AMERICANOS DEL ECUADOR PETROLAMEREC , PETRORIVA, CONSORCIO PETROLERO PALANDA -YUCA SUR, COMPAÑÍA SUDAMERICANA DE FÓSFOROS DEL ECUADOR FOSFOROCOMP)",SI,0,0,0,11,6,3,4,1,,,17,24,29,5,"4,298,367","106,573,342",4.03%,"9,405,721","168,465,316",5.58%,-36.74%,-54.30%,-1.55%,"24,313",0,0,0,"172,254,320","162,847,448","106,577,428","93,832,243","2,691,740","6,408,058"
128,128,0,"OBSA ORO BANANA (AUSURSA, JASAFRUT, LA MARAVILLA, CABANA, PICKUEL, SEDUC, FITECUA, INGAORO, APACSA)",SI,0,0,5,2,29,1,8,1,,,36,243,174,-69,"457,655","110,290,352",0.41%,"1,808,058","131,070,597",1.38%,-15.85%,-74.69%,-0.96%,"40,998","4,503",0,0,"163,512,751","177,199,047","81,079,267","87,851,203","2,021,473","2,190,958"
129,131,2,"CARTIMEX (FUROIANI OBRAS Y PROYECTOS, COMPUTRONS, XTRATECHCOMPUTER, ROYALBAY)",SI,2,0,7,2,52,6,2,1,,,61,192,259,67,"915,870","128,385,083",0.71%,"876,969","140,988,774",0.62%,-8.94%,4.44%,0.09%,"4,174,004","853,477",0,0,"159,295,490","171,793,584","41,117,603","45,310,328","3,455,615","3,638,859"
130,111,-19,"AUTOMOTORES CONTINENTAL (AUTOMOTORES CONTINENTAL, ECUA-AUTO, ECUA ¿ WAGEN, GERMANMOTORS, BUDGET, RENT A CAR, PROVEEDORA AUTOMOTRIZ, FLOWERFEST)",SI,0,2,2,1,17,7,5,1,,,20,262,276,14,"269,968","130,632,786",0.21%,"1,100,890","231,023,820",0.48%,-43.45%,-75.48%,-0.27%,"674,225",113,0,0,"131,910,637","160,058,718","55,676,262","65,265,769","6,332,637","8,129,139"
131,120,-11,"AUTOMOTORES DE LA SIERRA (IMPORTACIONES VENTURA IMPOVENTURA, CENTRALCAR, AUTOSIERRA, REENCAUCHADORA DE LA SIERRA, CAUCHOSIERRA, PUNTOSIERRA)",SI,0,0,9,0,20,0,5,1,,,29,275,255,-20,"113,635","121,303,197",0.09%,"1,209,702","178,584,407",0.68%,-32.08%,-90.61%,-0.58%,"2,249,007","94,783",0,0,"126,694,066","158,271,161","85,554,662","96,002,990","3,877,409","5,870,637"
132,133,1,"DURAGAS (FIBRO ACERO, CHI-VIT ECUADOR, SAKUNAO, BEST TRADING ASESORES)",PARCIALMENTE,0,0,7,0,18,2,3,2,,1,25,128,140,12,"2,211,924","162,384,568",1.36%,"3,076,694","169,952,338",1.81%,-4.45%,-28.11%,-0.45%,"1,756,160","16,191",0,0,"99,194,550","116,531,300","37,466,558","51,670,385","7,292,499","4,927,168"
133,139,6,"PROMESA PRODUCTOS METALÚRGICOS (KERISAM, BEROSEL, BIFIANCO, LIESCO)",SI,0,0,4,0,27,0,1,1,,,31,280,286,6,"34,628","74,768,198",0.05%,"249,107","84,528,045",0.29%,-11.55%,-86.10%,-0.25%,"3,284,478","321,665",0,0,"175,038,710","170,889,742","111,965,233","121,143,379","3,501,199","2,914,151"
134,142,8,"PYDACO (DISOR, FAVALLE, COMERCIALIZADORA P Y M, PESNUSAN )",SI,0,0,10,0,18,0,5,1,,,28,116,102,-14,"2,616,588","173,281,073",1.51%,"4,244,439","184,738,201",2.30%,-6.20%,-38.35%,-0.79%,"1,929,793",0,0,0,"67,267,971","64,087,846","36,549,799","31,532,547","7,870,573","5,789,920"
135,137,2,"DIRECTV ECUADOR (DTH ECUADOR, AT&T GLOBAL NETWORK SERVICES)",NO,0,0,0,0,3,10,2,1,,1,3,104,120,16,"2,877,369","173,390,253",1.66%,"3,787,772","187,251,040",2.02%,-7.40%,-24.04%,-0.36%,"6,051,757",320,0,0,"72,041,875","93,406,981","33,365,233","37,443,768","59,493,395","62,651,527"
136,150,14,"URIBE Y SCHWARZKOPF (FIDEICOMISO AQUA, FIDEICOMISO INMOBILIARIO YOO QUITO, FIDEICOMISO SHYRIS 18, FIDEICOMISO EPIQ, MIRACIELO, ARVALJO)",PARCIALMENTE,1,0,3,3,47,2,3,0,,,53,20,88,68,"997,843","22,436,168",4.45%,"1,425,938","55,973,038",2.55%,-59.92%,-30.02%,1.90%,"355,374",18,0,0,"313,587,914","247,771,141","19,695,389","21,992,137","3,504,683","4,754,628"
137,147,10,"MARBELIZE (PESDEL, FINCANONNOS, INCILIZY)",SI,0,0,6,0,14,0,2,1,,,20,231,215,-16,"586,540","115,709,553",0.51%,"1,220,094","114,121,302",1.07%,1.39%,-51.93%,-0.56%,"192,635","9,866",0,0,"147,140,893","148,655,107","38,387,176","42,920,374","1,658,907","1,622,571"
138,152,14,"UNIVERSIDAD PARTICULAR DE ESPECIALIDADES ESPÍRITU SANTO (CARACIOLO, ECOMUNDO CENTRO DE ESTUDIOS Y DISEÑO, COLEGIO DELFOS, CAJUDIORT)",PARCIALMENTE,0,2,1,0,23,0,2,0,,,24,182,217,35,"450,133","56,797,679",0.79%,"634,666","60,275,950",1.05%,-5.77%,-29.08%,-0.26%,"199,336",623,0,0,"179,946,682","173,077,661","150,966,092","145,085,705","3,012,361","4,292,617"
139,101,-38,"CONSORCIO LINEA 1 METRO DE QUITO ACCIONA ( CONSORCIO AB ESMERALDAS, ACCIONA AGUA, CONSORCIO AB LOJA)",PARCIALMENTE,0,0,0,2,16,14,3,1,,,18,118,21,-97,"1,644,372","111,237,460",1.48%,"15,948,465","262,424,073",6.08%,-57.61%,-89.69%,-4.60%,"1,077,308",0,0,0,"155,517,485","193,218,678","44,986,446","69,233,132","10,639,316","24,923,759"
140,158,18,"SERTECPET (BULLSUPPLY, PROBUSINESS)",SI,0,0,4,0,8,1,1,1,,,12,68,61,-7,"1,818,090","73,941,676",2.46%,"3,425,715","97,037,834",3.53%,-23.80%,-46.93%,-1.07%,"878,040","9,359",0,0,"168,644,289","132,287,977","121,225,204","86,355,908","5,611,785","11,309,265"
141,146,5,"ZAIMELLA DEL ECUADOR (MORCONELLO, GOCARMEL)",SI,0,0,1,0,3,0,1,1,,,4,28,58,30,"3,670,531","101,799,751",3.61%,"4,328,370","120,012,504",3.61%,-15.18%,-15.20%,0.00%,"5,111,673","343,146",0,0,"135,184,244","125,158,276","103,204,152","90,895,153","5,854,840","5,942,021"
142,159,17,"COMPAÑÍA VERDU (CARILLI, CONSORCIO ENLACE SETECIENTOS OCHENTA, CONSORCIO VIAL MANABI, CORREDOR VIAL DE LA COSTA CVIALCO, CARGA, VEHICULOS Y TRANSPORTE, C.V. TRANSPORTE)",SI,0,0,4,0,24,0,2,1,,,28,140,129,-11,"505,996","41,924,026",1.21%,"821,957","43,512,913",1.89%,-3.65%,-38.44%,-0.68%,"222,821","32,946",0,0,"210,157,749","181,939,264","122,418,095","114,195,976","1,045,603","3,579,801"
143,149,6,"SOCIEDAD MINERA LIGA DE ORO (GRANCOL, PESQUERA MARYCIELO, BURSA, INDMARZUL, ESTDICONST, SOCIEDAD MINERA NUEVA ROJAS SOMINUR)",SI,0,0,11,0,22,0,7,0,,1,33,22,64,42,"4,132,354","97,950,466",4.22%,"3,518,501","105,005,126",3.35%,-6.72%,17.45%,0.87%,"104,260","7,009",0,0,"166,940,893","158,124,549","52,217,780","48,379,243","6,364,075","6,216,073"
144,170,26,"PLANTACIONES DE BALSA PLANTABAL S.A. (COLUMBIA-FOREST PRODUCTS, PGS ECUADOR)",NO,0,0,0,0,3,6,2,1,,,3,95,218,123,"1,868,135","104,522,513",1.79%,"786,577","76,650,932",1.03%,36.36%,137.50%,0.76%,"333,880","2,638",0,0,"125,329,869","118,372,535","81,954,183","79,265,914","10,042,250","7,226,478"
145,151,6,"SANCHEZ AROSEMENA - SANCHEZ GUZMAN Y COMPAÑIA (FARIBALLCORP, INVERSIONES OMANI, ANGLO ECUATORIANA DE GUAYAQUIL, FUNDACION SANCHEZ AGUILAR, SANGUZHOLDING)",SI,0,0,4,0,18,0,1,0,,1,22,161,152,-9,"111,781","11,423,478",0.98%,"322,876","19,242,780",1.68%,-40.63%,-65.38%,-0.70%,"590,648","12,351",0,0,"257,223,572","258,954,612","106,893,032","108,418,634","722,665","861,049"
146,166,20,"ALVAREZ LARREA EQUIPOS MEDICOS ALEM (COMERCIAL INDUSTRIAL ECUATORIANA, MGLANDS, RACALEC, VOLKETSWILL)",SI,0,0,1,0,10,0,1,1,,,11,3,97,94,"6,013,444","72,933,846",8.25%,"1,411,880","59,645,998",2.37%,22.28%,325.92%,5.88%,"1,111,220","41,927",0,0,"165,517,459","166,892,750","98,043,133","82,144,412","2,832,763","2,922,850"
147,144,-3,"ANDINAMOTORS (MUNDOFACTOR, AUTOLINE, CHINAMOTORS, ALAMEDA HOTEL MERCURE, MEGAVEHICULOS,  PALMELINA, FORTALTRIUN, FERRIBAN, HOTEL EMBASSY)",SI,0,0,9,2,65,4,5,0,,,76,137,101,-36,"485,151","39,641,868",1.22%,"1,523,019","66,090,031",2.30%,-40.02%,-68.15%,-1.08%,"529,132","4,545",0,0,"212,868,527","203,078,138","87,579,206","89,656,060","1,773,534","3,587,060"
148,121,-27,"TAGSA (ECOGAL, QUITOTELCENTER, TERMICARGA)",SI,12,0,0,1,9,28,3,1,,,10,205,82,-123,"429,086","64,868,718",0.66%,"3,831,250","138,954,161",2.76%,-53.32%,-88.80%,-2.10%,"347,041","1,553",0,0,"186,914,120","238,213,113","61,759,781","76,392,045","5,129,088","7,492,892"
149,160,11,"COMERCIAL CARLOS ROLDAN ( IMPORTADORA ROLORTIZ, ECUABEIBEN, AUSTROPARTS, AUTOMOTORES TRINITY)",SI,0,0,1,0,14,0,3,1,,,15,37,76,39,"3,239,939","104,530,927",3.10%,"3,153,055","109,277,969",2.89%,-4.34%,2.76%,0.21%,"4,753,965","2,423",0,0,"132,100,440","120,163,506","61,253,746","51,850,280","6,241,949","5,101,429"
150,155,5,"INTEGRACIÓN AVÍCOLA ORO (FIDEICOMISO MARIA ISABEL, ELGAVILAN, ECUACHOCOLATES)",SI,0,0,4,0,7,0,1,1,,,11,117,127,10,"1,364,338","91,144,906",1.50%,"2,114,743","109,997,630",1.92%,-17.14%,-35.48%,-0.43%,"1,026,815",0,0,0,"134,157,326","126,122,747","79,452,221","75,742,361","2,538,147","2,336,121"
151,153,2,"MEXICHEM ECUADOR (ETERNIT, TUBOSISTEMAS, NETAFIM ECUADOR)",PARCIALMENTE,0,0,0,3,4,12,4,1,,,7,32,68,36,"3,429,812","106,987,753",3.21%,"4,207,802","128,432,759",3.28%,-16.70%,-18.49%,-0.07%,"3,941,589","54,060",0,0,"113,369,663","110,606,836","77,235,377","68,949,911","7,210,027","8,565,610"
152,135,-17,"ICESA (DARMAIN, FIDEICOMISO INMOBILIARIO ONE)",PARCIALMENTE,1,2,0,2,5,4,1,1,,,7,289,279,-10,0,"94,224,539",0.00%,"608,464","143,578,465",0.42%,-34.37%,-100.00%,-0.42%,"1,288,270","39,209",0,0,"144,323,490","158,667,891","38,030,294","35,903,558","4,417,332","6,131,471"
153,130,-23,"CORPORACIÓN ENSAB INDUSTRIA ECUATORIANA ENSAMBEC (MABEL, MEDIAS ROLAND, MABEL GROUP-HOLDING, COSMECECUADOR)",SI,0,0,7,1,21,1,3,1,,,29,225,269,44,"495,441","92,339,031",0.54%,"771,996","148,889,762",0.52%,-37.98%,-35.82%,0.02%,"4,156,107","1,729,829",0,0,"141,141,946","156,546,930","52,288,670","50,575,968","2,540,173","3,823,735"
154,154,0,"GOLDENSHRIMP ( EMCAMEX, COMGROPSA, FRUTAMARTI, ACUASAM)",SI,0,0,2,0,23,0,10,0,,,25,188,42,-146,"538,905","71,320,505",0.76%,"4,192,897","94,765,603",4.42%,-24.74%,-87.15%,-3.67%,"34,608",0,0,0,"158,928,674","154,231,187","70,707,190","74,570,754","1,804,210","2,627,842"
155,161,6,"AVICOLA VITALOA S.A. AVITALSA (ORIAVESA, ANDESVICOLA, AGROYAQUI)",SI,0,0,6,0,10,0,3,0,,,16,158,206,48,"1,581,973","157,373,685",1.01%,"1,829,616","163,086,649",1.12%,-3.50%,-13.54%,-0.12%,"1,159,742","17,285",0,0,"50,968,601","42,968,754","25,045,547","24,040,314","1,696,302","2,031,365"
156,140,-16,"RIPCONCIV CONSTRUCCIONES CIVILES (URBAN PROJECTS, MULTIPROPIEDADES, TECHBUILDERS)",SI,0,0,2,0,16,0,2,1,,,18,96,168,72,"1,560,835","87,790,853",1.78%,"2,137,999","146,918,858",1.46%,-40.25%,-27.00%,0.32%,"141,492","16,587",0,0,"155,970,334","129,578,359","36,636,929","38,243,616","5,812,801","6,119,566"
157,165,8,"HOSPITAL CLINICA KENNEDY (ADNE, SOCKEN, ASISKEN, FARMACIA Z, ALBOKENNEDY, PRELAVAL, ALBOTEOTON)",SI,0,0,4,0,24,0,3,0,,,28,106,143,37,"1,213,544","73,616,644",1.65%,"1,383,350","78,369,615",1.77%,-6.06%,-12.27%,-0.12%,"52,093",0,0,0,"161,334,522","145,006,942","62,201,694","52,774,287","1,937,858","2,396,258"
158,157,-1,"EDESA (ELAPLAS DEL ECUADOR, TERRAFORTE, KERACISA)",PARCIALMENTE,0,0,2,0,18,2,4,1,1,,20,222,205,-17,"423,815","74,452,637",0.57%,"989,275","86,860,376",1.14%,-14.28%,-57.16%,-0.57%,"1,553,512","83,956",0,0,"157,891,550","168,425,036","50,207,940","51,553,739","4,222,849","4,573,893"
159,132,-27,"YANBAL ECUADOR (MAFER-REAL ESTATE DEL ECUADOR, MAFER REAL ESTATE HOLDINGS, BELIA TRADING ECUADOR)",SI,2,0,0,4,4,12,1,1,,,8,36,38,2,"3,456,087","110,825,757",3.12%,"8,024,603","170,987,108",4.69%,-35.18%,-56.93%,-1.57%,"4,552,255","38,205",0,0,"108,305,308","130,010,030","38,815,328","38,211,123","20,918,028","40,936,413"
160,181,21,"COMPAÑÍA DE SEGUROS ECUATORIANO-SUIZA (SUAZIONI, HAESUIZA, CRETAR, DUXMARINE, DINMARKSA, OPTIMARINE, HEALTHYDRINKS, MAXTRADE, PONTIALSA)",PARCIALMENTE,1,0,3,0,34,2,2,1,1,,37,153,225,72,"980,661","91,481,490",1.07%,"798,691","84,618,836",0.94%,8.11%,22.78%,0.13%,"2,103,319","93,080",0,0,"112,323,141","98,101,130","54,013,015","43,583,039","7,560,042","6,150,931"
161,163,2,AJECUADOR (ECOAJE DEL ECUADOR),NO,1,0,0,4,2,20,1,1,,,6,23,52,29,"5,320,095","131,730,292",4.04%,"5,987,161","150,703,678",3.97%,-12.59%,-11.14%,0.07%,"3,392,107",0,0,0,"73,744,350","74,745,055","28,331,708","16,664,532","37,019,193","36,186,981"
162,174,12,"ASISERVY (NAVIWAX, EMPRENDER MANTA EMPREMANTA, ENEALTER, INMOBILIARIA N & H, CAF NUÑEZ, ACUAVIOESPEC)",SI,1,2,4,0,26,1,1,1,,,30,264,262,-2,"150,113","83,357,364",0.18%,"526,118","86,770,342",0.61%,-3.93%,-71.47%,-0.43%,"158,654","26,071",0,0,"125,532,626","109,661,133","46,393,898","46,504,464","2,201,217","1,860,005"
163,156,-7,ZURICH SEGUROS ECUADOR (CONSORCIO ACE-QBE),NO,0,0,0,0,2,3,1,1,1,,2,80,210,130,"1,770,434","82,873,666",2.14%,"1,162,402","105,741,437",1.10%,-21.63%,52.31%,1.04%,"3,553,691","37,327",410,409,"131,652,298","142,712,613","39,695,056","43,141,558","12,867,044","15,213,312"
164,167,3,COLGATE PALMOLIVE DEL ECUADOR (COLGATE PALMOLIVE COMPANY),NO,0,0,0,0,1,1,1,1,,,1,120,19,-101,"2,072,494","142,160,208",1.46%,"9,072,241","148,297,838",6.12%,-4.14%,-77.16%,-4.66%,"7,910,001",0,0,0,"56,041,908","66,652,263","9,329,305","18,554,601","13,056,547","16,138,782"
165,145,-20,"EMPACRECI (LOGISFERDERASA, MARCRESCISA, EXSA, ACUAFERANT)",SI,0,0,3,0,5,0,1,1,,,8,211,175,-36,"913,375","146,118,197",0.63%,"2,672,557","193,803,815",1.38%,-24.61%,-65.82%,-0.75%,"10,963",0,0,0,"41,324,455","42,443,128","10,403,412","9,081,105","3,876,748","4,636,943"
166,141,-25,"LAFATTORIA (CASESORIA EMPRESARIAL RIASEM, HENADAD, ROLEM, LOGISTICA DE ALIMENTOS Y OPERACIONES FOOD LOGISTICS FOODLOG)",SI,0,0,1,0,26,0,2,1,,,27,69,83,14,"2,505,289","103,200,824",2.43%,"4,377,953","160,584,983",2.73%,-35.73%,-42.77%,-0.30%,"16,548",855,0,0,"94,109,335","115,164,396","52,892,984","44,375,207","8,074,705","6,763,923"
167,169,2,"FORTIDEX (OCEANFISH, PROMOPESCA, GLOBALPESCA, FABRICA DE HIELO BRENER, OCEAN FARM)",SI,6,2,7,4,11,8,4,1,,,22,198,245,47,"624,311","91,029,107",0.69%,"677,998","93,652,957",0.72%,-2.80%,-7.92%,-0.04%,"143,003","2,951",0,0,"104,830,768","109,326,652","47,528,990","45,670,006","2,675,185","3,226,703"
168,172,4,"PROALCO (ALIMENTOS ECUATORIANOS LOS ANDES, LICORES SAN MIGUEL, CONSTRUCCIONES INDUSTRIALES)",SI,1,0,7,0,30,1,3,0,,,37,64,79,15,"1,270,586","49,595,383",2.56%,"1,431,006","51,039,326",2.80%,-2.83%,-11.21%,-0.24%,"502,562","14,067",0,0,"180,211,498","182,797,736","37,464,179","36,544,865","4,554,893","5,964,848"
169,173,4,"PINTULAC (ZATOTEK, EZXA, MAESTRO, ALL FOR BIKERS)",SI,0,0,16,0,23,0,2,1,,,39,45,69,24,"2,748,697","91,387,493",3.01%,"3,441,715","105,054,214",3.28%,-13.01%,-20.14%,-0.27%,"2,315,407","214,939",0,0,"92,983,543","85,542,369","55,152,829","49,123,154","5,099,821","6,410,191"
170,168,-2,"TECFOOD SERVICIOS DE ALIMENTACION (NIMBUS HOLDING, CATERFOOD BROADLINER, COMPAÑIA DE ALIMENTOS Y SERVICIOS COALSE, CATERING SERVICE, SFM, FROZENTROPIC)",SI,0,0,4,0,22,0,4,0,,,26,123,142,19,"1,327,762","94,639,358",1.40%,"1,976,213","111,708,442",1.77%,-15.28%,-32.81%,-0.37%,"934,314",975,0,0,"110,090,136","107,119,520","24,946,046","20,690,661","5,773,353","6,543,568"
171,148,-23,"COMERCIAL HIDROBO (ECUAMOTORS, HYUNMOTOR, AUTOMOTORES HIDROBO ESTRADA AUTHESA, EQUINORTE, INMOBUSINESS)",PARCIALMENTE,1,6,8,1,22,5,8,0,,,31,164,176,12,"637,989","67,415,389",0.95%,"1,478,227","107,581,620",1.37%,-37.34%,-56.84%,-0.43%,"323,647","6,251",0,0,"130,410,700","148,215,706","46,875,790","58,569,269","2,733,848","4,626,067"
172,164,-8,"BAKER HUGHES INTERNATIONAL BRANCHES (BAKER HUGHES SERVICES, BAKER PETROLITE, BAKER HUGHES SWITZERLAND)",NO,18,19,0,0,7,58,5,2,,,7,14,22,8,"4,274,749","77,398,193",5.52%,"6,323,259","104,949,089",6.03%,-26.25%,-32.40%,-0.50%,"3,575,885","6,378",0,0,"102,148,414","114,407,860","69,985,337","63,746,615","10,968,404","10,263,143"
173,185,12,"ETINAR (GUAYAQUIL TENIS CLUB, VIGERANO, PREDIAL E INVERSIONISTA LIPIDAVA, MEGATRADING, DENAPOR)",SI,2,0,1,0,27,3,3,0,,,28,135,200,65,"423,581","33,648,169",1.26%,"450,267","38,092,622",1.18%,-11.67%,-5.93%,0.08%,"15,937",0,0,0,"165,505,872","153,862,221","60,514,542","61,988,124","2,079,792","2,965,654"
174,223,49,"FARMAYALA PHARMACEUTICAL (ITALCHEM ECUADOR, XILEMZA, LABIOSA, EDIFICORP)",SI,2,0,4,0,30,2,2,0,,,34,56,107,51,"2,048,272","75,477,608",2.71%,"1,098,465","49,680,448",2.21%,51.93%,86.47%,0.50%,"1,502,759","83,688",0,0,"103,221,168","70,750,682","48,659,329","43,585,827","2,745,348","1,281,719"
175,189,14,MABE ECUADOR (MABE MEXICO),SI,0,0,0,1,2,4,1,1,,,3,89,235,146,"1,813,452","95,263,133",1.90%,"792,801","97,188,802",0.82%,-1.98%,128.74%,1.09%,"3,091,889","144,532",0,0,"77,817,717","63,872,470","36,648,493","37,740,684","4,904,815","5,775,638"
176,178,2,"KIMBERLY - CLARK ECUADOR (KIMBERLY CLARK WORLDWIDE, KIMBERLY CLARK COLOMBIA HOLDING, KIMBERLY CLARK DUTCH HOLDING)",NO,1,0,0,0,1,8,1,1,,,1,49,54,5,"2,859,904","97,033,117",2.95%,"4,143,962","110,267,370",3.76%,-12.00%,-30.99%,-0.81%,"5,160,180","11,238",0,0,"68,869,717","67,934,698","38,892,444","39,457,370","9,539,860","12,453,089"
177,186,9,"PLÁSTICOS RIVAL (MINERAWANTZA, ROOTOURS, REGOLUX, PRODUCTOS ROMOTT)",SI,0,0,7,0,15,0,1,1,,,22,125,146,21,"811,405","58,285,492",1.39%,"1,068,058","62,580,258",1.71%,-6.86%,-24.03%,-0.31%,"3,122,709","62,261",0,0,"117,494,136","114,912,391","60,087,968","58,514,127","2,701,962","3,429,395"
178,191,13,"TRANSOCEÁNICA (HAPAG-LLOYD ECUADOR, AGENCIA NAVIERA EXPRESS NETWORK OFFICE EXNETSA, NAVECUADOR, NIMARO, TERMINAL DE LOGISTICA SITRANSTER, TRANSPOINT)",SI,0,0,5,1,26,0,4,0,,1,32,55,53,-2,"2,139,336","78,783,089",2.72%,"3,032,910","79,898,661",3.80%,-1.40%,-29.46%,-1.08%,"4,469,044","30,895",0,0,"88,981,208","86,929,238","55,799,260","58,529,704","5,056,632","5,795,634"
179,195,16,HUAWEI TECHNOLOGIES CO. LTD. (HUAWEI TECHNOLOGIES ECUADOR),SI,0,0,0,1,2,5,1,1,,,3,31,92,61,"3,077,603","92,488,677",3.33%,"2,241,773","90,139,890",2.49%,2.61%,37.28%,0.84%,"2,053,426","1,877,377",0,0,"85,998,476","84,622,961","11,954,733","7,888,979","11,543,570","11,023,090"
180,184,4,"FERREMUNDO (AVANPLUS, MUNDOELÉCTRICO, CONEX, BREFER)",SI,6,0,3,0,15,6,1,1,,,18,108,162,54,"1,251,830","76,969,582",1.63%,"1,273,449","83,653,396",1.52%,-7.99%,-1.70%,0.10%,"3,948,121","10,786",472,613,"92,096,105","98,017,144","40,127,703","38,167,691","3,167,427","2,994,562"
181,192,11,"FUNDAMETZ (INDUSTRIA DACAR, PROHOLDING, PLACASDELSUR, RIBELLA)",SI,2,0,4,0,9,3,2,1,,,13,272,238,-34,"92,283","91,287,063",0.10%,"784,077","98,289,880",0.80%,-7.12%,-88.23%,-0.70%,"309,940","4,412",0,0,"76,845,958","72,058,529","17,700,294","19,557,432","2,886,825","4,181,112"
182,175,-7,"IDEAL ALAMBREC (HIDROELECTRICA PERLABI, INTTEGRA, LA IDEAL)",PARCIALMENTE,3,0,2,0,7,5,1,1,,,9,57,203,146,"2,589,034","95,474,445",2.71%,"1,356,705","116,760,053",1.16%,-18.23%,90.83%,1.55%,"3,428,343",556,0,0,"69,405,843","75,398,896","29,920,864","29,902,288","5,665,477","6,224,438"
183,171,-12,"CORPORACIÓN AZENDE (AZENDELOG, DURAMAS, CENCOMAY, FABRICA TIGER, INSERKOTA)",SI,0,7,8,0,21,0,4,1,,1,29,119,201,82,"866,692","58,630,324",1.48%,"964,056","82,262,229",1.17%,-28.73%,-10.10%,0.31%,"424,364","58,031",0,0,"116,397,163","119,656,598","41,861,909","59,540,685","10,856,150","11,050,716"
